PC 1,PC 2,PC 3,Ratio,Cluster
-0.3745966562322152,0.7547799661205024,-0.7825432287346371,PSMB1 ,5
-2.491843231319485,1.2595228359652306,-1.0075840877371913,SSBP1 ,3
-4.759738505071953,-0.7668219461271716,0.3054505369701306,H4C1 ,3
4.697878640080336,0.2285786019538688,0.363314971727664,SYNCRIP ,4
-3.9256468931028716,0.2665316756647419,-0.2965410059563765,ELAVL1 ,3
2.580113982843827,-0.07674607249323483,-0.7618822356098054,CUTA ,1
-3.6442734517106126,0.8030641541692439,0.7482177689665827,S100A14 ,3
-1.8676612213534567,0.11027929667121524,-0.2977189737055779,CNDP2 ,3
-2.266847130280044,0.3697720924640236,-0.5472441037921287,RPS11 ,3
2.0618541956675878,1.4273128121360332,-0.43591111100385216,DDX46 ,1
-2.5080768285685706,-0.4107402324739311,-1.0385158487120116,PPIB ,3
-2.2805850700761736,-0.16452507314590456,-0.3276979868218915,KRT80 ,3
-3.4829993478824575,0.23279282660415263,-0.4719177200518035,CAST ,3
3.7345607728066286,1.2662891176124096,-0.21580503787468555,XRCC5 ,1
-1.7332222013707401,-0.10832815601711517,-0.4962623631259904,HSPH1 ,3
-4.398107065616979,-0.6341109950477758,-0.2363518986275364,CTNNAL1 ,3
-4.179683466670693,-0.9021362700651367,-1.6586690851774115,HAUS4 ,3
2.6612129138869456,-0.1844363113279512,-0.7446810658352814,PRDX5 ,1
2.4992636784584,0.4110345443845016,-0.8375557591973265,LSM12 ,1
-2.505100198102634,0.571272993631121,0.02628827352127326,VDAC3 ,3
7.8042629754802215,-1.7924155970460822,1.5478317010335179,CTNNA1 ,4
4.009059503787046,1.516882780371494,-1.7326056463871602,DPY30 ,1
-1.464735926138103,0.4442234573309488,-0.5006434462601995,RPS15A ,5
-1.699812306171078,0.09878055620707896,-0.35184795761085924,RPL7A ,3
-1.3999022610046115,0.7464044504560042,-0.15495470733460623,RNF187 ,5
-1.367336421693995,0.26397617585909716,-0.2425645786659816,TARS1 ,5
-3.569101857252418,1.0656149196929268,0.523344200933802,VDAC1 ,3
