PC 1,PC 2,PC 3,Ratio,Cluster
3.305424790880986,0.4773401357698201,-0.19666871033015007,HIST1H1D,0
-2.0928888421181244,-1.231941363169969,-0.5424301513508658,HNRNPA2B1,5
1.3937928785220524,0.1274593011951146,-0.21664776457546936,RAN,0
-1.275598989969497,-0.9110519208321313,-0.32138402182119724,HSPB1,5
-0.9614317771996727,-0.7094015281476199,-0.02381687775883389,LCP1,5
1.6569436201039642,0.714631097141151,0.3787831888149355,P4HB,0
1.586835436130359,0.035363601569900295,-0.1624126266534198,NME1,0
0.2745896097315779,-0.7825953244533791,-0.11797759255579988,YWHAH,5
-0.5492609633100208,0.6538572581546513,0.027092766002388576,LDHA,2
1.0271171185412948,0.4834772603394997,-0.018119792793631677,PCNA,0
-0.5937885523606802,2.5593732451355637,0.28868771011944344,KRT15,2
