,1,2,3,4,5,6,7,8,9
CYCS,0.765534746,0.588804567,0.348232419,0.891419187,0.718087584,0.491596594,0.886745225,0.65718266,0.463622457
LDHB,0.059355278,0.125651102,-0.03948829,0.067638717,0.027154052,-0.103146927,0.129612738,0.264236151,-0.040971781
PRDX2,-0.36215794,-0.013043037,-0.06039728,-0.265344567,0.242450074,0.074505436,-0.377069649,-0.024736678,-0.010134377
CALM1,0.22897257,-0.438307279,-0.117161344,0.309176187,-0.131313235,0.113700499,0.269033146,-0.382701517,-0.058893689
TUBA4A,0.001441974,-0.184424571,-0.086201035,-0.12973393,-0.220950447,-0.030619235,-0.254977851,-0.13289427,-0.030619235
VCP,0.301002256,0.357270476,0.032806145,0.211635253,0.178873958,-0.049904906,0.265436896,0.308011315,-0.001443417
KRT18,0.635986504,-0.477944251,-0.479954976,0.386259141,-0.632628934,-0.671163536,0.691534165,-0.300448367,-0.365871442
ANXA4,0.128293401,0.185232254,-0.051399153,-0.036525876,-0.046921047,-0.02620507,-0.239566125,0.004321606,-0.179514657
CLIC1,-0.083141235,0.286881148,0.115033243,-0.114035243,0.35952117,0.242450074,-0.048412205,0.34596403,0.351628329
RPL23,0.635986504,0.82700601,0.303342394,0.583037624,0.776525151,0.267835392,0.350497247,0.544979883,0.037030731
HSPA8,-0.169744676,-0.064917477,-0.02620507,-0.13606155,-0.081613766,-0.008682243,-0.177881725,-0.064917477,0.082702589
RPS9,-0.23786383,0.020057652,-0.046921047,-0.215914857,-0.080087911,-0.02180437,-0.378944497,-0.229382353,-0.093879047
HSPA5,0.420078116,0.40053793,0.243669081,0.244887059,0.318461465,0.252173413,0.407080775,0.416839742,0.259423152
BOLA2,0.694211608,0.622930351,0.454175893,0.958285901,0.889084099,0.734655433,0.342554745,0.273814245,0.119024103
HIST1H1E,0.674460652,0.737254104,0.374065718,0.731183242,0.730313886,0.38294387,0.722466024,0.735522177,0.357270476
ANXA5,-0.573466862,-0.033569533,0,-0.504304837,-0.005782353,0.147957881,-0.446148032,0.01720929,0.038436182
HIST1H1D,0.674460652,0.737254104,0.374065718,0.731183242,0.730313886,0.38294387,0.722466024,0.735522177,0.357270476
HNRNPA2B1,-0.790858602,-0.219269964,-0.153606979,-0.662003536,-0.093879047,-0.005782353,-0.720231578,-0.229382353,-0.109358756
RAN,0.426533138,0.409255147,0.314986485,0.236339539,0.293958979,0.069014678,0.219091058,0.349365278,0.182692298
HSPB1,-0.57132159,-0.147202107,-0.148800661,-0.371459681,-0.052894948,0.12035194,-0.477944251,-0.027674958,-0.01887801
LCP1,-0.354759487,-0.199255376,-0.02620507,-0.307572802,-0.106249498,0.070389328,-0.277533976,-0.048412205,0.055195654
P4HB,0.600269754,0.351628329,0.113700499,0.512985335,0.22650853,0.243669081,0.523060062,0.25821739,0.147957881
NME1,0.324234562,0.370722275,0.230203013,0.273814245,0.388465097,0.212880566,0.320773477,0.411426246,0.243669081
YWHAH,-0.128156351,0.126972856,0.140124224,-0.126580497,0.109694865,0.247319935,-0.089267338,0.186500558,0.207892852
LDHA,0.173767068,-0.139235797,-0.15521265,-0.070966521,-0.015957574,-0.134477041,0.151858817,-0.055891201,-0.13606155
PCNA,0.332278283,0.293958979,-0.069451881,0.292781749,0.272620455,0.187767747,0.320773477,0.232660757,0.125651102
KRT15,0.59645814,-0.184424571,-0.415037499,0.41467678,-0.40545145,-0.621488377,0.692427198,0,-0.234465254
TUBB2A,-0.467932448,0.205392513,0.167357928,-0.492078535,0.077242999,0.055195654,-0.577766999,0.032806145,0.119024103
TBCA,0.183962835,0.045442971,-0.040971781,0.314986485,0.158337027,0.086783766,0.182692298,-0.001443417,-0.089267338
PARK7,0.413594082,0.171206827,-0.027674958,0.424384672,0.145351386,-0.13606155,0.353887836,0.102993993,-0.080087911
RPL12,0.244887059,0.295135249,0.005759269,-0.189351252,0.171206827,-0.222632891,0.004321606,0.222804561,-0.126580497
HNRNPK,-0.413115187,-0.001443417,0.015782997,-0.291592017,0.022900402,0.029982866,-0.373327247,0.027154052,0.121678557
RPS5,0.232660757,-0.084670324,0.062121712,0.159629186,-0.304006187,0.115033243,0.343692069,-0.036525876,0.219091058
RPL7A,0.230203013,0.34596403,0.378511623,0.108357178,0.204140717,0.241230036,0.141432791,0.34596403,0.222804561
RPL38,0.286881148,0.214124805,-0.030619235,0.340277405,0.270229907,0.041242982,0.332278283,0.263034406,0.034215715
MDH2,0.598365205,0.854394678,0.904580435,0.765534746,0.964213778,0.90303827,0.565597176,0.780730036,0.972325042
LMNA,0.028569152,-0.051399153,-0.036525876,0.12035194,-0.007231569,-0.070966521,-0.02180437,-0.089267338,-0.120294234
S100P,0.525066592,0.46571332,0.23878686,0.459431619,0.435095152,0.182692298,0.334568276,0.310340121,0.060739158
HSP90AB1,-0.17299399,-0.066427362,-0.066427362,-0.134477041,-0.043943348,-0.03209363,-0.254977851,-0.166502663,-0.190997225
EEF1A1,0.230203013,0.128293401,-0.10159814,0.115033243,0.007195501,-0.248107862,0.230203013,0.160920188,-0.02180437
ALDOA,0.313826296,0.059355278,-0.18606493,0.153156788,-0.035046947,-0.234465254,0.257010618,0.073134705,-0.083141235
HNRNPC,0.164786278,0.360645202,0.303342394,0.275007047,0.358396262,0.32308179,0.146655222,0.2880632,0.333423734
PPIB,0.339137385,0.35614381,0.212880566,0.368489001,0.396159489,0.230203013,0.337996464,0.295135249,0.169925001
YWHAG,-0.187707155,0.136191386,0.22650853,-0.168122759,0.13093087,0.244887059,-0.164884385,0.150559677,0.195347598
RPSA,-0.070966521,-0.046921047,-0.18606493,-0.158429363,0,-0.075520008,-0.104697379,0.129612738,0.044044333
RPS25,0.360645202,0.280956314,0.057970069,0.35952117,0.282143229,0.020057652,0.296310561,0.219091058,0.052415894
RPL27A,-0.689659879,-0.286304185,-0.03948829,-0.603840511,-0.244685096,-0.139235797,-0.76121314,-0.3382504,-0.13289427
RPS3A,0.379620962,0.364012054,0.075874867,0.22527493,0.202887833,0.01720929,0.273814245,0.333423734,0.09085343
HSPA9,0.421155961,0.571434116,0.626672753,0.399444565,0.451013243,0.617298483,0.316145742,0.579180148,0.672651629
ATP5A1,0.291603558,0.622930351,0.615416297,0.202887833,0.45206823,0.598365205,0.277389699,0.569491092,0.559736524
ACTN4,0.154453593,0.011495639,0.002882509,0.248534836,0.037030731,0.108357178,0.115033243,-0.035046947,0.038436182
STMN1,0.420078116,0.547943311,0.316145742,0.475084883,0.605968359,0.388465097,0.160920188,0.292781749,0.075874867
HSPA1A,-0.415037499,-0.17625064,-0.114035243,-0.334607229,-0.242976753,-0.123433941,-0.312939312,-0.148800661,-0.027674958
LSM5,-0.659722595,-1.543719518,-1.438307279,0.296310561,-0.584241333,-0.4639471,-0.597277823,-1.477944251,-1.358453971
RPS26,-0.20756107,-0.179514657,0.014355293,-0.371459681,-0.258425153,-0.01449957,-0.309359421,-0.169744676,0.074505436
PEBP1,0.064882852,0.575312331,0.22897257,-0.300448367,0.485426827,0.207892852,0.316145742,0.451013243,0.230203013
SLC25A6,1.252173413,2.033158667,2.027154052,0.917622702,1.690640579,1.699551633,1.364012054,2.073134705,2.082021269
HSP90AA1,-0.027674958,0.029982866,-0.035046947,0.018634174,0.097610797,-0.036525876,-0.040971781,-0.087733372,-0.067938829
SOD1,0.365132593,0.257010618,0.09895848,0.389566812,0.284514133,0.141432791,0.641546029,0.509949146,0.429749851
NPM1,0.260627908,0.283329168,-0.02620507,0.358396262,0.39176772,0.052415894,0.423309237,0.3950628,0.064882852
PGK1,0.205392513,-0.002888279,-0.194294815,0.201633861,-0.126580497,-0.281035664,0.247319935,-0.199255376,-0.232768963
NACA,0.392866916,0.444667067,0.2880632,0.593592806,0.64800518,0.506906555,0.532067552,0.586884813,0.445726703
PDIA3,-0.12973393,-0.131313235,-0.02180437,0.020057652,-0.002888279,0.066261442,-0.16326792,-0.030619235,0.037030731
EZR,0.192825404,0.163498732,0.071762669,0.133563526,0.254594043,0.119024103,-0.209227962,0.024319679,0.078609835
PLS3,-0.13289427,-0.029146346,0.042644337,-0.279283757,-0.098505545,-0.040971781,-0.3382504,-0.123433941,0
RPS11,0.115033243,0.273814245,0.113700499,-0.011587974,0.150559677,0.005759269,-0.066427362,0.096261853,-0.048412205
RAB1C,2.870660627,0.999278472,0.09895848,2.434027675,0.565597176,-0.320125852,3.272471161,1.404358195,0.51903861
SUB1,-0.232768963,-0.40927823,-0.189351252,-0.20756107,-0.382701517,-0.054392297,-0.320125852,-0.430508908,-0.234465254
PA2G4,0.085424656,-0.440263476,-0.305788392,0.03562391,-0.522840789,-0.160040413,-0.06039728,-0.573466862,-0.415037499
RPL22,0.430820497,0.273814245,-0.027674958,0.506906555,0.413594082,0.126972856,0.269033146,0.478195258,0.155749233
CCT8,-0.166502663,-0.005782353,-0.01449957,-0.329159664,-0.06340917,-0.115597447,-0.281035664,0.03562391,0.018634174
ANXA8L1,-0.552156356,-0.126580497,0.022900402,-0.40354186,0.025737561,0.189033824,-0.415037499,0.014355293,0.177598929
ST13P4,0.515005916,0.310340121,0.094911647,0.489542936,0.360645202,0.158337027,0.542010356,0.348232419,0.126972856
SET,0.604071324,0.360645202,0.121678557,0.721591399,0.624802765,0.308011315,0.555816155,0.309176187,0.086783766
GDI2,-0.145605322,-0.027674958,-0.169744676,-0.205896101,-0.168122759,-0.142417045,-0.103146927,-0.011587974,-0.069451881
NCL,0.132247798,-0.244685096,-0.035046947,0.094911647,-0.109358756,0.088141597,-0.164884385,-0.144010303,0.022900402
RPL7,-0.682695932,-0.545824107,-0.265344567,-0.386468347,-0.293358943,-0.318325858,-0.564904848,-0.506352666,-0.210896782
RPS13,0,-0.158429363,-0.118726939,-0.02180437,-0.246395464,-0.13606155,-0.187707155,-0.291592017,-0.236163541
RPL6,-0.783389931,-0.595096878,-0.153606979,-0.713118852,-0.467932448,-0.112474729,-0.657445255,-0.554273297,-0.332789088
