,1,2,3,4,5,6,7,8,9
EIF2S2 ,0.656360505,0.568542371,0.40124417,0.386682338,0.298864204,0.131566003,0.48690416,0.399086026,0.231787825
RAB39B ,-0.23243168,-0.104021689,-0.293692693,-0.525432038,-0.397022048,-0.586693051,-0.630026525,-0.501616535,-0.691287538
PREP ,-0.22976482,-0.388050641,-0.206668482,-0.306362239,-0.46464806,-0.283265901,-0.128252173,-0.286537994,-0.105155835
IARS1 ,0.308356534,0.13217753,0.194298598,0.259635041,0.083456037,0.145577104,0.403967578,0.227788575,0.289909642
ETHE1 ,-0.122134778,-0.267501675,-0.417102017,-0.266033782,-0.41140068,-0.561001021,-0.188936225,-0.334303123,-0.483903464
PRMT1 ,0.556825946,0.554614594,0.219821438,0.46721285,0.465001498,0.130208342,0.461139648,0.458928297,0.124135141
DDT ,0.622335108,0.859232465,0.619258067,0.264416283,0.50131364,0.261339242,0.325919336,0.562816692,0.322842294
DHX9 ,-0.27721354,-0.948911887,-1.082831613,-0.370527601,-1.042225947,-1.176145673,-0.604014605,-1.275712951,-1.409632678
EIF3CL ,-0.339901544,-0.81078742,-0.713717319,-0.191106852,-0.661992728,-0.564922628,-0.284387471,-0.755273346,-0.658203246
SARS1 ,-0.631099234,-0.656320001,-0.300927377,-0.486927821,-0.512148588,-0.156755964,-0.503626223,-0.52884699,-0.173454366
UQCRC2 ,-0.305800448,-0.198373745,-0.366640438,-0.757357731,-0.649931027,-0.81819772,-0.402927033,-0.29550033,-0.463767023
ACTA2 ,-0.598090945,-0.435102714,-0.225576013,-0.553062368,-0.390074136,-0.180547435,-0.588958065,-0.425969833,-0.216443132
C1QTNF4 ,0.334886253,0.931139823,0.533149537,0.147293816,0.743547386,0.345557099,0.39092144,0.987175009,0.589184723
PPP2R2B ,-0.6794288,-0.390690906,-0.273986943,-0.703667616,-0.414929723,-0.298225759,-0.690058702,-0.401320808,-0.284616845
NASP ,-0.754494833,-0.428355268,-0.445231917,-0.544682126,-0.218542561,-0.23541921,-0.650702272,-0.324562707,-0.341439356
RPS15 ,-0.054385316,-0.146698392,-0.079378166,-0.201229443,-0.293542519,-0.226222294,-0.247342751,-0.339655827,-0.272335602
TBX21 ,0.479889685,1.059363392,0.709332042,0.116615431,0.696089138,0.346057789,0.445545244,1.025018951,0.674987601
OAT ,-0.078383136,-0.327983571,-0.200352045,-0.369836538,-0.619436973,-0.491805448,-0.236228412,-0.485828848,-0.358197322
LGALS3 ,0.36163497,0.485612805,0.237410017,0.195848547,0.319826382,0.071623595,0.253000231,0.376978066,0.128775279
PFKM ,-0.338572639,-0.455467169,-0.71872403,-0.170949743,-0.287844273,-0.551101134,-0.617427922,-0.734322452,-0.997579313
MCM3 ,-0.197621605,-0.233300872,-0.367769467,-0.127176338,-0.162855605,-0.2973242,-0.449666837,-0.485346104,-0.619814699
PSMB1 ,0.088893868,0.204236121,0.06433149,0.10414605,0.219488303,0.079583672,0.109425496,0.224767749,0.084863118
SSBP1 ,0.582770364,0.237117008,0.733481253,0.613177613,0.267524257,0.763888502,0.414756437,0.069103081,0.565467326
H4C1 ,1.488148102,0.98658496,0.855820566,0.907754684,0.406191542,0.275427149,1.115537533,0.613974391,0.483209998
